frame_no,detection_no,class,x,y,width,height,confidence
7,10,person,925.4,184.3,60.7,139.5,0.6359
7,11,person,572.8,279.6,58.5,138.1,0.7048
7,12,person,710.1,222.5,59.6,146.0,0.6071
7,13,person,95.2,134.3,50.5,115.6,0.5429
7,14,person,1794.7,157.2,58.3,130.7,0.4463
7,15,person,346.1,493.6,56.7,147.0,0.5373
7,16,person,384.6,509.9,73.1,161.7,0.5512
7,17,person,1170.3,140.8,44.5,135.8,0.2698
7,18,person,1699.6,160.3,60.7,144.3,0.2737
7,19,person,1832.8,663.2,87.2,194.6,0.7204
7,20,person,1202.6,117.2,50.1,137.2,0.3222
7,21,person,415.6,489.9,100.0,153.3,0.2837
7,22,person,987.3,110.1,52.7,142.0,0.4063
7,23,person,1388.3,50.8,34.7,132.5,0.2998
7,24,person,213.4,31.1,63.1,116.9,0.3632
7,25,person,800.7,73.3,50.3,125.5,0.4763
7,26,person,1093.2,54.9,43.1,106.2,0.2824
7,27,person,573.2,212.7,47.3,91.3,0.4131
7,28,handbag,1476.4,533.4,49.7,60.1,0.3969
7,29,person,847.3,65.8,43.8,128.7,0.3498
7,30,person,898.0,81.4,44.7,128.3,0.2968
8,1,person,675.6,608.9,72.8,186.9,0.8415
8,2,person,1389.1,705.6,113.1,181.6,0.8159
8,3,person,42.9,806.2,101.5,182.3,0.8885
8,4,person,1124.4,903.2,133.4,176.3,0.8243
8,5,person,1140.6,479.2,69.1,138.9,0.7259
8,6,person,754.8,424.0,66.2,159.1,0.7909
8,7,person,1460.2,337.8,68.8,161.4,0.6762
8,8,person,249.5,456.4,73.8,170.1,0.8163
8,9,person,1475.7,492.3,73.5,157.5,0.7829
8,10,person,925.2,186.2,60.1,138.5,0.5523
8,11,person,573.0,281.2,57.8,136.4,0.6730
8,12,person,709.9,219.8,60.3,148.2,0.6009
8,13,person,95.1,133.9,50.4,115.4,0.4672
8,14,person,1796.3,158.3,57.9,129.2,0.4339
8,15,person,345.7,493.4,56.8,146.9,0.5124
8,16,person,384.3,508.4,73.1,162.1,0.6092
8,17,person,1172.8,138.1,43.1,130.9,0.3486
8,18,person,1702.7,162.6,60.1,143.7,0.2810
8,19,person,1834.4,655.6,85.6,192.4,0.6737
8,20,person,1202.6,115.1,50.6,138.9,0.3319
8,21,person,414.9,487.5,100.4,154.9,0.3740
8,22,person,987.9,112.8,52.7,141.6,0.4886
8,23,person,1388.3,48.2,35.2,134.5,0.2655
8,24,person,218.1,28.8,63.1,118.1,0.2750
8,25,person,799.2,71.8,50.4,126.2,0.3627
8,26,person,1094.0,56.3,42.7,105.4,0.2870
8,27,person,573.4,214.3,47.4,91.7,0.3567
8,28,person,846.5,64.6,44.9,132.2,0.2515
8,29,person,900.4,78.3,44.3,128.2,0.3239
8,30,handbag,675.8,699.1,26.2,74.9,0.5566
9,1,person,675.5,604.7,74.2,190.4,0.8429
9,2,person,1387.2,707.2,112.3,181.0,0.7910
9,3,person,44.7,808.1,100.2,180.0,0.8768
9,4,person,1121.8,895.9,135.8,183.3,0.8414
9,5,person,1141.6,476.8,69.4,139.5,0.6960
9,6,person,754.5,420.8,66.1,159.9,0.7624
9,7,person,1461.7,342.2,69.1,162.6,0.6725
9,8,person,248.5,461.3,75.4,173.3,0.7945
9,9,person,1476.7,493.8,76.1,162.9,0.7258
9,10,person,924.7,186.9,59.7,137.8,0.5814
9,11,person,572.8,280.2,58.2,137.7,0.6328
9,12,person,709.4,218.0,60.5,149.1,0.6089
9,13,person,95.1,132.7,50.6,116.2,0.4509
9,14,person,1796.7,158.4,57.8,128.6,0.4079
9,15,person,345.7,493.0,57.1,146.9,0.5275
9,16,person,384.0,508.7,72.6,161.4,0.5770
9,17,person,1173.8,135.2,42.8,129.2,0.3466
9,18,person,1835.5,650.6,84.5,193.1,0.6542
9,19,person,1202.6,113.8,50.2,137.9,0.2703
9,20,person,416.2,488.0,99.2,153.9,0.3321
9,21,person,988.6,114.7,52.6,141.3,0.5063
9,22,person,222.2,27.2,63.4,119.6,0.2598
9,23,person,798.3,70.6,50.6,127.2,0.3581
9,24,person,574.1,215.9,47.4,91.9,0.2875
9,25,person,901.0,76.7,43.4,126.6,0.2778
9,26,handbag,677.3,706.2,22.3,63.3,0.4928
10,1,person,674.8,601.0,75.6,194.0,0.8353
10,2,person,1386.8,709.1,110.5,178.8,0.7732
10,3,person,47.0,809.3,99.2,178.1,0.8739
10,4,person,1120.0,889.3,135.6,187.0,0.8629
10,5,person,1142.1,474.4,70.2,141.5,0.7171
10,6,person,754.2,418.4,66.2,161.7,0.7516
10,7,person,1462.6,347.1,69.3,163.2,0.6409
10,8,person,248.4,465.8,75.9,173.8,0.7783
10,9,person,1476.8,496.1,79.4,169.8,0.7291
10,10,person,924.0,187.3,59.3,137.3,0.5809
10,11,person,572.8,281.6,58.4,138.3,0.6601
10,12,person,709.4,216.5,60.5,149.6,0.5842
10,13,person,94.6,131.8,50.8,116.9,0.5605
10,14,person,1797.2,158.7,57.9,127.9,0.4766
10,15,person,346.0,492.6,57.5,147.1,0.5189
10,16,person,383.8,506.1,73.2,163.3,0.5635
10,17,person,1174.3,130.6,43.5,129.9,0.3259
10,18,person,1836.4,647.0,83.6,193.7,0.7227
10,19,person,1202.4,112.6,50.1,138.1,0.2699
10,20,person,990.1,116.3,52.2,140.5,0.5040
10,21,person,227.0,26.6,62.8,119.0,0.2825
10,22,person,798.2,70.1,50.4,127.6,0.3782
10,23,person,574.9,216.7,46.6,90.5,0.2689
10,24,person,902.9,76.3,42.4,124.4,0.3154
10,25,handbag,676.5,703.8,21.3,59.7,0.5043
10,26,person,1705.7,164.0,59.1,142.6,0.3367
10,27,person,847.9,63.6,44.8,132.2,0.2938
11,1,person,674.3,597.5,76.8,197.6,0.8353
11,2,person,1385.1,708.0,109.7,178.1,0.7775
11,3,person,51.2,810.3,99.1,176.4,0.8794
11,4,person,1118.3,883.5,134.9,190.1,0.8674
11,5,person,1142.3,472.8,70.7,143.2,0.7227
11,6,person,753.8,416.3,66.2,163.3,0.7574
11,7,person,1463.9,349.5,69.6,163.9,0.6652
11,8,person,248.2,469.5,76.7,174.6,0.7798
11,9,person,1476.9,501.0,80.8,172.7,0.7118
11,10,person,923.9,188.2,58.7,136.5,0.5889
11,11,person,571.2,280.1,60.7,144.5,0.6642
11,12,person,709.6,214.6,60.3,149.3,0.5867
11,13,person,94.0,130.7,51.2,117.8,0.5883
11,14,person,1797.6,158.8,58.3,127.6,0.4671
11,15,person,345.9,491.9,58.1,147.8,0.4820
11,16,person,384.3,506.0,72.7,162.6,0.5333
11,17,person,1173.6,129.0,43.7,129.4,0.3185
11,18,person,1837.2,644.1,82.8,195.0,0.7026
11,19,person,1202.3,110.3,50.5,139.8,0.2905
11,20,person,990.8,117.2,51.9,139.6,0.4913
11,21,person,230.7,25.8,62.7,119.3,0.2859
11,22,person,797.7,69.9,49.9,127.5,0.4054
11,23,person,574.8,217.2,46.9,91.6,0.3575
11,24,person,904.0,75.6,41.5,122.1,0.2814
11,25,handbag,676.3,700.2,21.2,59.0,0.4626
