frame_no,detection_no,class,x,y,width,height,confidence
115,1,person,116.5,144.9,401.7,334.9,0.8807
115,2,cup,239.3,285.3,115.9,162.3,0.6589
116,1,person,112.6,145.6,402.9,334.3,0.8827
116,2,cup,243.0,285.5,117.4,165.6,0.2588
117,1,person,111.0,145.9,404.4,334.1,0.8889
117,2,cell phone,250.5,285.9,112.4,158.3,0.3717
118,1,person,111.8,145.4,405.7,334.4,0.8812
118,2,cell phone,252.9,285.9,110.1,154.8,0.3304
119,1,person,106.7,145.0,408.3,334.9,0.8721
120,1,person,106.7,144.8,409.8,335.2,0.8663
120,2,cell phone,255.2,284.7,106.0,148.4,0.2619
121,1,person,108.0,144.9,410.4,335.1,0.8905
121,2,wine glass,180.7,305.0,95.7,174.8,0.4496
121,3,cell phone,255.0,283.2,106.8,149.3,0.3787
122,1,person,106.0,144.9,411.5,335.1,0.8845
122,2,wine glass,181.0,303.3,96.6,176.5,0.5090
122,3,cup,253.0,282.8,110.2,154.2,0.4032
123,1,person,106.4,144.8,412.2,335.2,0.8535
123,2,wine glass,181.3,300.2,98.3,179.6,0.2832
123,3,cup,253.6,282.7,108.7,151.6,0.2892
124,1,person,106.5,144.6,413.1,335.4,0.8739
124,2,cup,253.5,282.4,108.6,151.2,0.4817
125,1,person,105.9,144.8,413.9,335.2,0.8513
125,2,cup,254.1,282.2,108.1,150.1,0.5287
125,3,wine glass,181.0,300.9,97.6,178.5,0.3449
126,1,person,105.3,145.0,414.7,335.0,0.8387
127,1,person,109.1,145.3,414.5,334.7,0.8604
128,1,person,114.4,145.8,413.9,334.2,0.8455
129,1,person,114.6,145.7,414.3,334.3,0.8824
130,1,person,114.0,145.6,415.0,334.4,0.8577
130,2,cell phone,207.3,282.6,117.9,151.7,0.4185
131,1,person,113.1,145.5,415.5,334.5,0.8607
131,2,cell phone,205.7,282.4,121.1,155.5,0.2536
132,1,person,114.1,145.8,415.3,334.2,0.8601
132,2,cell phone,214.1,282.1,123.9,159.6,0.2595
133,1,person,112.6,145.8,417.1,334.1,0.8898
134,1,person,111.1,145.8,418.7,334.2,0.9099
134,2,cup,211.7,281.9,125.0,160.9,0.2828
135,1,person,111.4,145.8,418.3,334.1,0.8791
136,1,person,111.2,145.6,418.3,334.4,0.8773
137,1,person,110.5,145.8,418.4,334.2,0.8864
137,2,cup,215.4,281.4,117.5,150.3,0.3041
138,1,person,112.0,145.9,418.2,334.1,0.8920
138,2,cup,214.8,281.4,117.9,150.1,0.2845
139,1,person,110.8,145.5,418.5,334.5,0.8807
139,2,cup,214.6,281.4,118.1,149.5,0.3580
140,1,person,110.8,145.5,418.5,334.5,0.8698
140,2,cup,212.4,281.4,122.2,154.4,0.3027
141,1,person,108.5,145.7,419.9,334.3,0.8754
142,1,person,109.1,146.0,418.3,333.5,0.9392
143,1,person,109.2,146.2,417.0,332.9,0.8279
144,1,person,106.5,145.7,417.9,333.4,0.8586
144,2,cup,202.9,328.5,88.2,151.4,0.5443
145,1,person,115.9,146.6,414.6,332.8,0.8189
146,1,person,115.0,147.3,413.1,332.4,0.8305
147,1,person,115.0,147.8,411.0,331.9,0.8806
148,1,person,98.8,147.8,413.9,332.0,0.8920
149,1,person,91.0,147.7,416.7,332.1,0.8897
150,1,person,82.0,147.4,419.9,332.1,0.8911
151,1,person,82.1,149.6,419.9,330.2,0.9076
151,2,chair,67.8,329.1,123.5,134.9,0.3911
152,1,person,72.6,150.7,423.1,329.2,0.8971
152,2,chair,73.5,328.6,111.1,121.2,0.4727
153,1,person,69.3,149.0,428.4,330.6,0.9194
153,2,chair,75.3,328.8,106.4,115.9,0.4607
154,1,person,65.9,148.3,432.8,331.2,0.9075
155,1,person,56.7,149.4,437.2,330.4,0.9164
155,2,chair,72.7,328.0,111.7,121.5,0.3417
156,1,person,65.0,148.8,438.9,330.8,0.8992
156,2,chair,71.7,328.1,115.7,125.5,0.5015
157,1,person,70.1,150.1,439.0,329.5,0.9006
157,2,chair,69.2,328.1,120.0,130.1,0.5042
158,1,person,64.4,149.3,442.4,330.2,0.8963
158,2,chair,69.2,328.2,120.5,130.3,0.4648
159,1,person,64.1,148.8,444.6,330.7,0.8937
159,2,chair,71.3,328.6,118.7,128.2,0.5002
160,1,person,57.4,148.7,447.7,330.7,0.8847
160,2,chair,74.4,328.6,116.7,126.1,0.4602
161,1,person,41.0,149.4,453.8,330.2,0.8955
161,2,chair,88.2,328.3,99.1,106.0,0.3962
162,1,person,55.5,148.3,455.2,331.2,0.8650
162,2,chair,99.5,328.3,84.6,88.8,0.4096
163,1,person,71.7,148.0,452.4,331.6,0.7492
164,1,person,96.4,148.3,444.0,331.4,0.8377
165,1,person,92.6,147.2,442.2,332.6,0.9117
166,1,person,93.2,146.5,439.4,333.2,0.9162
166,2,cup,153.6,392.4,121.7,87.5,0.7895
166,3,chair,69.4,328.7,122.5,151.0,0.4893
167,1,person,96.1,145.9,437.0,333.8,0.9017
167,2,chair,70.7,329.2,122.0,150.3,0.4589
167,3,cup,220.3,377.0,79.0,103.0,0.4680
168,1,person,93.9,145.5,435.5,334.1,0.9068
168,2,chair,71.0,329.0,121.7,149.8,0.3323
168,3,cup,223.9,371.5,94.2,108.5,0.3921
169,1,person,94.8,145.4,433.6,334.3,0.9179
169,2,chair,69.9,329.1,121.9,149.9,0.5276
169,3,cup,227.5,365.9,102.7,114.1,0.6590
170,1,person,90.8,146.5,431.5,332.8,0.9181
170,2,chair,69.3,329.3,122.2,150.1,0.2914
171,1,person,96.7,147.1,428.5,331.9,0.9129
171,2,chair,68.7,329.0,122.4,150.2,0.3424
172,1,person,94.5,146.5,429.0,332.7,0.8942
172,2,chair,68.9,329.0,121.9,149.5,0.4238
172,3,cup,242.9,312.9,119.0,151.7,0.5008
173,1,person,94.0,146.6,428.9,332.7,0.9001
173,2,chair,68.9,329.2,121.9,149.5,0.3658
173,3,cup,248.7,312.5,116.5,149.4,0.3669
174,1,person,88.3,146.9,430.7,332.5,0.8353
174,2,chair,70.1,328.9,118.0,144.4,0.3852
174,3,cup,249.2,307.3,116.3,151.9,0.4149
175,1,person,87.1,147.0,432.1,332.4,0.8199
175,2,chair,71.4,328.7,114.6,139.5,0.3958
175,3,cup,248.8,304.0,115.8,153.2,0.4898
176,1,person,100.5,147.2,429.6,332.4,0.8517
176,2,chair,71.8,328.9,114.4,138.5,0.4218
176,3,cell phone,245.8,302.3,115.4,152.3,0.3905
177,1,person,89.7,146.8,430.7,332.9,0.7429
177,2,cell phone,245.6,298.8,110.9,150.8,0.6331
178,1,person,71.0,146.7,427.8,333.0,0.7475
178,2,cell phone,245.5,296.8,108.1,151.0,0.3711
179,1,person,56.9,146.5,428.1,333.2,0.7123
179,2,cell phone,246.0,296.4,106.0,151.7,0.4054
180,1,person,69.2,146.1,430.6,333.7,0.8764
180,2,cell phone,252.7,297.5,110.4,156.8,0.4601
180,3,chair,69.7,328.7,118.7,143.4,0.2950
