frame_no,detection_no,class,x,y,width,height,confidence
6,39,person,1898,105,20,95,0.2855
6,40,person,159,0,30,45,0.2520
7,1,person,1456,331,70,156,0.8521
7,2,person,1140,911,103,168,0.8420
7,3,person,674,614,72,179,0.8085
7,4,person,1202,116,51,133,0.7648
7,5,person,755,426,63,155,0.7278
7,6,bird,41,803,102,186,0.7093
7,7,person,249,451,76,166,0.7059
7,8,bird,1136,482,75,137,0.6695
7,9,person,1395,708,112,179,0.6627
7,10,person,1792,155,65,134,0.6166
7,11,person,1678,14,55,130,0.6010
7,12,person,1091,51,45,107,0.5923
7,13,person,926,184,54,137,0.5859
7,14,person,799,71,41,123,0.5807
7,15,person,723,0,43,94,0.5774
7,16,person,1620,18,38,110,0.5717
7,17,person,710,222,56,147,0.5504
7,18,person,1693,161,73,146,0.5488
7,19,person,88,129,55,121,0.5284
7,20,person,344,492,55,144,0.5238
7,21,person,1387,1,56,180,0.5195
7,22,person,1170,143,42,123,0.5149
7,23,person,216,31,54,115,0.5078
7,24,person,1469,487,78,161,0.4882
7,25,person,853,65,39,127,0.4806
7,26,person,1850,663,68,198,0.4730
7,27,person,1585,20,41,101,0.4726
7,28,person,358,0,60,128,0.4721
7,29,person,1299,4,45,101,0.4563
7,30,person,899,88,43,116,0.4320
7,31,person,571,283,60,131,0.4236
7,32,person,167,0,25,40,0.3802
7,33,person,388,498,70,173,0.3623
7,34,person,1728,82,58,103,0.3615
7,35,person,451,510,64,128,0.3553
7,36,person,572,208,48,91,0.3498
7,37,person,984,111,58,138,0.3168
7,38,person,1898,105,20,94,0.2740
8,1,person,674,607,72,186,0.8329
8,2,person,1457,336,71,155,0.8101
8,3,bird,1139,477,73,137,0.7695
8,4,person,1852,659,66,182,0.7543
8,5,person,246,458,79,174,0.7532
8,6,person,1138,901,101,178,0.7443
8,7,person,1394,707,108,181,0.6708
8,8,person,1792,155,69,132,0.6705
8,9,person,925,188,56,134,0.6427
8,10,person,1202,113,51,140,0.6325
8,11,person,756,423,58,153,0.6264
8,12,person,709,218,59,151,0.6235
8,13,person,1621,16,38,110,0.6056
8,14,person,1090,52,46,106,0.5992
8,15,person,1678,13,56,130,0.5795
8,16,person,1472,489,79,158,0.5749
8,17,bird,44,807,98,183,0.5575
8,18,person,222,30,57,115,0.5559
8,19,person,91,127,53,121,0.5323
8,20,person,799,72,40,119,0.5155
8,21,person,722,0,45,92,0.5152
8,22,person,1693,89,91,216,0.5073
8,23,person,901,81,42,121,0.5031
8,24,person,1387,1,56,180,0.4967
8,25,person,1588,19,38,103,0.4943
8,26,person,853,64,38,128,0.4765
8,27,person,1300,4,43,101,0.4629
8,28,person,1696,152,72,153,0.4622
8,29,person,344,491,54,145,0.4514
8,30,person,571,278,61,135,0.4408
8,31,person,1170,140,44,123,0.4404
8,32,person,365,1,55,126,0.3696
8,33,person,169,0,23,36,0.3616
8,34,person,984,111,59,141,0.3565
8,35,person,387,509,71,160,0.3323
8,36,person,1899,105,19,93,0.2968
8,37,person,451,509,63,128,0.2938
8,38,person,42,806,101,182,0.2727
9,1,bird,1139,476,74,136,0.8702
9,2,person,674,604,72,190,0.8082
9,3,person,1461,339,70,162,0.7595
9,4,person,246,462,80,174,0.7457
9,5,person,1850,649,69,192,0.7059
9,6,person,1137,894,101,185,0.6858
9,7,person,1394,708,104,181,0.6433
9,8,person,757,421,57,155,0.6299
9,9,person,1793,156,69,130,0.6132
9,10,person,1621,17,39,110,0.5995
9,11,person,1473,492,80,166,0.5960
9,12,person,1091,53,46,105,0.5839
9,13,person,1676,12,59,135,0.5829
